ID,Name_x,status,cantidad de hablantes,ISO_codes_x,country,IDH,coordinates,Population,Name_y,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes_y,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
yus,Central Siberian Yupik,0,1800,ess,United States of America,0.92,Point(-98.5795 39.828175),331449281,Yupik (Siberian),Eurasia,65.0,-173.0,ess,Eskimo-Aleut,,Eskimo,t990099,ess,RU,,,,,,,,,,,,,,,,2.0,,3.0,3.0,,,,,,1.0,,,,,,,,,,2.0,2.0,2.0,,,5.0,3.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,2.0,1.0,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,1.0,4.0,,,,,,,,,,1.0,,7.0,,1.0,1.0,5.0,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,
yus,Central Siberian Yupik,0,1800,ess,Russia,0.816,Point(94.25 66.416666666),146804372,Yupik (Siberian),Eurasia,65.0,-173.0,ess,Eskimo-Aleut,,Eskimo,t990099,ess,RU,,,,,,,,,,,,,,,,2.0,,3.0,3.0,,,,,,1.0,,,,,,,,,,2.0,2.0,2.0,,,5.0,3.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,2.0,1.0,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,1.0,4.0,,,,,,,,,,1.0,,7.0,,1.0,1.0,5.0,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,
crl,Carolinian,0,5700,cal,United States of America,0.92,Point(-98.5795 39.828175),331449281,Carolinian,Papunesia,15.2,145.75,cal,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,cal,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cct,Choctaw,1,9200,cho,United States of America,0.92,Point(-98.5795 39.828175),331449281,Choctaw,North America,32.25,-88.5,cho,Muskogean,,Muskogean,c990099,cho,US,,2.0,,,,1.0,,,2.0,3.0,,,,,,2.0,1.0,,,,1.0,3.0,1.0,1.0,,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,5.0,4.0,2.0,,,,,,,,,,,,4.0,1.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,1.0,,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,,3.0,,,1.0,,,,2.0,2.0,2.0,4.0,1.0,5.0,5.0,,,3.0
cyn,Cheyenne,1,2400,chy,United States of America,0.92,Point(-98.5795 39.828175),331449281,Cheyenne,North America,47.0,-95.0,chy,Algic,,Algonquian,cffffff,chy,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hop,Hopi,1,5264,hop,United States of America,0.92,Point(-98.5795 39.828175),331449281,Hopi,North America,36.0,-110.0,hop,Uto-Aztecan,,Hopi,fffcc00,hop,US,,,,,,,3.0,,,,,,,,,,,,,,1.0,,1.0,1.0,4.0,2.0,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,1.0,1.0,4.0,4.0,1.0,1.0,3.0,,,,,,,,,2.0,1.0,,,2.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,1.0,,1.0,,4.0,,,,3.0,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,2.0,4.0,4.0,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,,1.0,,1.0,,,
hop,Hopi,1,6780,hop,United States of America,0.92,Point(-98.5795 39.828175),331449281,Hopi,North America,36.0,-110.0,hop,Uto-Aztecan,,Hopi,fffcc00,hop,US,,,,,,,3.0,,,,,,,,,,,,,,1.0,,1.0,1.0,4.0,2.0,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,1.0,1.0,4.0,4.0,1.0,1.0,3.0,,,,,,,,,2.0,1.0,,,2.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,1.0,,1.0,,4.0,,,,3.0,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,2.0,4.0,4.0,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,,1.0,,1.0,,,
crk,Muscogee,1,4300,mus,United States of America,0.92,Point(-98.5795 39.828175),331449281,Creek,North America,34.0,-85.0,mus,Muskogean,,Muskogean,c990099,mus,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cro,Crow,1,3000,cro,United States of America,0.92,Point(-98.5795 39.828175),331449281,Crow,North America,47.0,-108.0,cro,Siouan,,Core Siouan,fffffff,cro,US,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,2.0,2.0,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,
aar,Aari,0,13300,aiw,Ethiopia,0.46299999999999997,Point(40.0 9.0),104957438,Aari,Africa,6.0,36.5833333333,aiw,Afro-Asiatic,Omotic,South Omotic,ccccccc,aiw,ET,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,3.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,,,1.0,2.0,2.0,,,
aar,Aari,0,253000,aiw,Ethiopia,0.46299999999999997,Point(40.0 9.0),104957438,Aari,Africa,6.0,36.5833333333,aiw,Afro-Asiatic,Omotic,South Omotic,ccccccc,aiw,ET,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,3.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,,,1.0,2.0,2.0,,,
aar,Aari,0,285000,aiw,Ethiopia,0.46299999999999997,Point(40.0 9.0),104957438,Aari,Africa,6.0,36.5833333333,aiw,Afro-Asiatic,Omotic,South Omotic,ccccccc,aiw,ET,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,3.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,,,1.0,2.0,2.0,,,
mur,Mursi,0,7500,muz,Ethiopia,0.46299999999999997,Point(40.0 9.0),104957438,Mursi,Africa,5.583333333330001,36.0833333333,muz,Eastern Sudanic,,Surmic,sffffcc,muz,ET,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,3.0,,,,,,,,,8.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,2.0,2.0,4.0,2.0,,1.0,,1.0,,,,,,,,,,4.0,4.0,,,
bys,Baiso,0,5480,bsw,Ethiopia,0.46299999999999997,Point(40.0 9.0),104957438,Bayso,Africa,6.25,37.75,bsw,Afro-Asiatic,Cushitic,Lowland East Cushitic,cff6600,bsw,ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abo,Arbore,0,7210,arv,Ethiopia,0.46299999999999997,Point(40.0 9.0),104957438,Arbore,Africa,5.0,36.75,arv,Afro-Asiatic,Cushitic,Lowland East Cushitic,cff6600,arv,ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,,,,2.0,2.0,,,
mrq,North Marquesan,1,6000,mrq,France,0.888,Point(2.0 47.0),66628000,Marquesan,Papunesia,-8.916666666669999,-140.08333333299998,,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,mqm mrq,PF,,,,,,2.0,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,1.0,1.0,1.0,8.0,,,,1.0,8.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,2.0,2.0,,2.0,2.0,2.0,6.0,1.0,,1.0,,1.0,,,,,,1.0,,1.0,4.0,4.0,4.0,,,
ara,Arawak,1,2500,arw,France,0.888,Point(2.0 47.0),66628000,Arawak,South America,5.5,-55.1666666667,arw,Arawakan,,Caribbean Arawakan,cffcc00,arw,SR,4.0,2.0,5.0,2.0,2.0,1.0,,1.0,,,,,,,,,2.0,,,,6.0,,,,,,,,,4.0,,,,,2.0,,2.0,,3.0,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,21.0,,,12.0,,,,4.0,8.0,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,4.0,,,,,,,,2.0,5.0,,,1.0,2.0,,,,,,,,3.0,,,,3.0,,,,9.0,,,,1.0,,1.0,,,,,,4.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,2.0,2.0,,,,,,6.0,,,3.0,5.0,3.0,,,3.0
ara,Arawak,1,2500,arw,Venezuela,0.7609999999999999,Point(-67.0 8.0),28515829,Arawak,South America,5.5,-55.1666666667,arw,Arawakan,,Caribbean Arawakan,cffcc00,arw,SR,4.0,2.0,5.0,2.0,2.0,1.0,,1.0,,,,,,,,,2.0,,,,6.0,,,,,,,,,4.0,,,,,2.0,,2.0,,3.0,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,21.0,,,12.0,,,,4.0,8.0,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,4.0,,,,,,,,2.0,5.0,,,1.0,2.0,,,,,,,,3.0,,,,3.0,,,,9.0,,,,1.0,,1.0,,,,,,4.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,2.0,2.0,,,,,,6.0,,,3.0,5.0,3.0,,,3.0
ara,Arawak,1,2500,arw,Suriname,0.72,Point(-56.0 4.0),563402,Arawak,South America,5.5,-55.1666666667,arw,Arawakan,,Caribbean Arawakan,cffcc00,arw,SR,4.0,2.0,5.0,2.0,2.0,1.0,,1.0,,,,,,,,,2.0,,,,6.0,,,,,,,,,4.0,,,,,2.0,,2.0,,3.0,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,21.0,,,12.0,,,,4.0,8.0,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,4.0,,,,,,,,2.0,5.0,,,1.0,2.0,,,,,,,,3.0,,,,3.0,,,,9.0,,,,1.0,,1.0,,,,,,4.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,2.0,2.0,,,,,,6.0,,,3.0,5.0,3.0,,,3.0
ara,Arawak,1,2500,arw,Guyana,0.654,Point(-59.316667 5.733333),777859,Arawak,South America,5.5,-55.1666666667,arw,Arawakan,,Caribbean Arawakan,cffcc00,arw,SR,4.0,2.0,5.0,2.0,2.0,1.0,,1.0,,,,,,,,,2.0,,,,6.0,,,,,,,,,4.0,,,,,2.0,,2.0,,3.0,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,21.0,,,12.0,,,,4.0,8.0,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,4.0,,,,,,,,2.0,5.0,,,1.0,2.0,,,,,,,,3.0,,,,3.0,,,,9.0,,,,1.0,,1.0,,,,,,4.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,2.0,2.0,,,,,,6.0,,,3.0,5.0,3.0,,,3.0
shy,Eastern Yugur,1,4000,yuy,People's Republic of China,0.752,Point(103.451944444 35.844722222),1409517397,Shira Yughur,Eurasia,38.0,99.0,yuy,Altaic,,Mongolic,d009900,yuy,CN,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
shy,Eastern Yugur,1,4000,yuy,People's Republic of China,0.752,Point(103.451944444 35.844722222),1443497378,Shira Yughur,Eurasia,38.0,99.0,yuy,Altaic,,Mongolic,d009900,yuy,CN,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
bao,Bonan,1,6000,peh,People's Republic of China,0.752,Point(103.451944444 35.844722222),1409517397,Bao'an,Eurasia,35.75,102.833333333333,peh,Altaic,,Mongolic,d009900,peh,CN,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,6.0,,,1.0,,,,,1.0
bao,Bonan,1,6000,peh,People's Republic of China,0.752,Point(103.451944444 35.844722222),1443497378,Bao'an,Eurasia,35.75,102.833333333333,peh,Altaic,,Mongolic,d009900,peh,CN,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,6.0,,,1.0,,,,,1.0
bao,Bonan,1,10000,peh,People's Republic of China,0.752,Point(103.451944444 35.844722222),1409517397,Bao'an,Eurasia,35.75,102.833333333333,peh,Altaic,,Mongolic,d009900,peh,CN,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,6.0,,,1.0,,,,,1.0
bao,Bonan,1,10000,peh,People's Republic of China,0.752,Point(103.451944444 35.844722222),1443497378,Bao'an,Eurasia,35.75,102.833333333333,peh,Altaic,,Mongolic,d009900,peh,CN,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,6.0,,,1.0,,,,,1.0
syg,Western Yugur,1,4600,ybe,People's Republic of China,0.752,Point(103.451944444 35.844722222),1409517397,Saryg Yughur,Eurasia,38.75,99.75,ybe,Altaic,,Turkic,d0000dd,ybe,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
syg,Western Yugur,1,4600,ybe,People's Republic of China,0.752,Point(103.451944444 35.844722222),1443497378,Saryg Yughur,Eurasia,38.75,99.75,ybe,Altaic,,Turkic,d0000dd,ybe,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
muu,Munduruku,0,7000,myu,Brazil,0.754,Point(-53.0 -14.0),210147125,Mundurukú,South America,-7.0,-58.0,myu,Tupian,,Munduruku,dffffff,myu,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,
des,Desano,1,3400,des,Brazil,0.754,Point(-53.0 -14.0),210147125,Desano,South America,0.833333333333,-69.8333333333,des,Tucanoan,,Tucanoan,ddd0000,des,CO BR,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,7.0,6.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,4.0,,,,,,,,,,,,,,2.0,,4.0,3.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,,,,,6.0,1.0,2.0,1.0,2.0,1.0,,,
des,Desano,1,3400,des,Colombia,0.747,Point(-74.0 4.0),49065615,Desano,South America,0.833333333333,-69.8333333333,des,Tucanoan,,Tucanoan,ddd0000,des,CO BR,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,7.0,6.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,4.0,,,,,,,,,,,,,,2.0,,4.0,3.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,,,,,6.0,1.0,2.0,1.0,2.0,1.0,,,
myr,Matsés,0,2200,mcf,Brazil,0.754,Point(-53.0 -14.0),210147125,Matsés,South America,-5.416666666669999,-73.25,mcf,Panoan,,Panoan,c0000dd,mcf,BR PE,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,2.0,,,
myr,Matsés,0,2200,mcf,Peru,0.75,Point(-76.0 -9.4),29381884,Matsés,South America,-5.416666666669999,-73.25,mcf,Panoan,,Panoan,c0000dd,mcf,BR PE,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,2.0,,,
war,Wari’,0,1930,pav,Brazil,0.754,Point(-53.0 -14.0),210147125,Wari',South America,-11.333333333299999,-65.0,pav,Chapacura-Wanham,,Chapacura-Wanham,f0000dd,pav,BR,2.0,4.0,5.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,8.0,5.0,1.0,,2.0,3.0,4.0,2.0,1.0,,6.0,,,,2.0,,3.0,4.0,4.0,,1.0,2.0,2.0,1.0,,2.0,,,6.0,,,,,1.0,1.0,2.0,2.0,,,1.0,,,,1.0,,,,1.0,4.0,4.0,12.0,3.0,,,,,,,,,,,,,,,,,,4.0,,1.0,6.0,4.0,,7.0,8.0,1.0,5.0,3.0,1.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,7.0,,1.0,,5.0,5.0,5.0,,2.0,5.0,3.0,2.0,1.0,2.0,1.0,,2.0,4.0,1.0,1.0,1.0,9.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,6.0,2.0,8.0,,1.0,2.0,4.0,2.0,4.0,5.0,1.0,5.0,2.0,,2.0,,2.0,,1.0,1.0,4.0,5.0,4.0,3.0,4.0,,2.0,2.0,1.0,2.0,2.0,,2.0,4.0,1.0,1.0,,1.0,,,,,3.0,6.0,1.0,1.0,4.0,4.0,,1.0,7.0,3.0
kyp,Mẽbêngôkre,0,7100,txu,Brazil,0.754,Point(-53.0 -14.0),210147125,Kayapó,South America,-9.0,-52.0,txu,Macro-Ge,,Ge-Kaingang,sffffff,txu,BR,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,
